"","date","state","cases"
"1","2020-01-22","California","0"
"2","2020-01-23","California","0"
"3","2020-01-24","California","0"
"4","2020-01-25","California","0"
"5","2020-01-26","California","2"
"6","2020-01-27","California","0"
"7","2020-01-28","California","0"
"8","2020-01-29","California","0"
"9","2020-01-30","California","0"
"10","2020-01-31","California","1"
"11","2020-02-01","California","0"
"12","2020-02-02","California","0"
"13","2020-02-03","California","3"
"14","2020-02-04","California","0"
"15","2020-02-05","California","0"
"16","2020-02-06","California","0"
"17","2020-02-07","California","0"
"18","2020-02-08","California","0"
"19","2020-02-09","California","0"
"20","2020-02-10","California","0"
"21","2020-02-11","California","1"
"22","2020-02-12","California","0"
"23","2020-02-13","California","1"
"24","2020-02-14","California","0"
"25","2020-02-15","California","0"
"26","2020-02-16","California","0"
"27","2020-02-17","California","0"
"28","2020-02-18","California","0"
"29","2020-02-19","California","0"
"30","2020-02-20","California","0"
"31","2020-02-21","California","2"
"32","2020-02-22","California","0"
"33","2020-02-23","California","0"
"34","2020-02-24","California","0"
"35","2020-02-25","California","0"
"36","2020-02-26","California","0"
"37","2020-02-27","California","1"
"38","2020-02-28","California","0"
"39","2020-02-29","California","1"
"40","2020-03-01","California","0"
"41","2020-03-02","California","9"
"42","2020-03-03","California","4"
"43","2020-03-04","California","10"
"44","2020-03-05","California","16"
"45","2020-03-06","California","8"
"46","2020-03-07","California","22"
"47","2020-03-08","California","14"
"48","2020-03-09","California","6"
"49","2020-03-10","California","43"
"50","2020-03-11","California","34"
"51","2020-03-12","California","43"
"52","2020-03-13","California","60"
"53","2020-03-14","California","91"
"54","2020-03-15","California","1"
"55","2020-03-16","California","184"
"56","2020-03-17","California","143"
"57","2020-03-18","California","128"
"58","2020-03-19","California","177"
"59","2020-03-20","California","238"
"60","2020-03-21","California","162"
"61","2020-03-22","California","241"
"62","2020-03-23","California","462"
"63","2020-03-24","California","430"
"64","2020-03-25","California","460"
"65","2020-03-26","California","901"
"66","2020-03-27","California","758"
"67","2020-03-28","California","438"
"68","2020-03-29","California","757"
"69","2020-03-30","California","1286"
"70","2020-03-31","California","1072"
"71","2020-04-01","California","1189"
"72","2020-04-02","California","1374"
"73","2020-04-03","California","1231"
"74","2020-04-04","California","833"
"75","2020-04-05","California","2197"
"76","2020-04-06","California","985"
"77","2020-04-07","California","1332"
"78","2020-04-08","California","1546"
"79","2020-04-09","California","813"
"80","2020-04-10","California","1371"
"81","2020-04-11","California","625"
"82","2020-04-12","California","1089"
"83","2020-04-13","California","1136"
"84","2020-04-14","California","1425"
"85","2020-04-15","California","1330"
"86","2020-04-16","California","991"
"87","2020-04-17","California","1480"
"88","2020-04-18","California","1334"
"89","2020-04-19","California","940"
"90","2020-04-20","California","2255"
"91","2020-04-21","California","1779"
"92","2020-04-22","California","1879"
"93","2020-04-23","California","2217"
"94","2020-04-24","California","1794"
"95","2020-04-25","California","1013"
"96","2020-04-26","California","1190"
"97","2020-04-27","California","1408"
"98","2020-04-28","California","1198"
"99","2020-04-29","California","2583"
"100","2020-04-30","California","1383"
"101","2020-05-01","California","1896"
"102","2020-05-02","California","1321"
"103","2020-05-03","California","1556"
"104","2020-05-04","California","981"
"105","2020-05-05","California","2572"
"106","2020-05-06","California","2160"
"107","2020-05-07","California","1532"
"108","2020-05-08","California","1631"
"109","2020-05-09","California","2779"
"110","2020-05-10","California","1042"
"111","2020-05-11","California","1729"
"112","2020-05-12","California","1649"
"113","2020-05-13","California","1820"
"114","2020-05-14","California","2073"
"115","2020-05-15","California","1822"
"116","2020-05-16","California","2032"
"117","2020-05-17","California","1441"
"118","2020-05-18","California","1291"
"119","2020-05-19","California","2295"
"120","2020-05-20","California","2245"
"121","2020-05-21","California","2034"
"122","2020-05-22","California","2221"
"123","2020-05-23","California","2287"
"124","2020-05-24","California","1481"
"125","2020-05-25","California","2380"
"126","2020-05-26","California","2987"
"127","2020-05-27","California","1663"
"128","2020-05-28","California","2763"
"129","2020-05-29","California","2809"
"130","2020-05-30","California","3273"
"131","2020-05-31","California","2056"
"132","2020-06-01","California","2782"
"133","2020-06-02","California","2482"
"134","2020-06-03","California","2133"
"135","2020-06-04","California","2820"
"136","2020-06-05","California","3570"
"137","2020-06-06","California","2855"
"138","2020-06-07","California","2022"
"139","2020-06-08","California","3201"
"140","2020-06-09","California","2825"
"141","2020-06-10","California","3074"
"142","2020-06-11","California","3662"
"143","2020-06-12","California","3282"
"144","2020-06-13","California","3359"
"145","2020-06-14","California","2282"
"146","2020-06-15","California","3426"
"147","2020-06-16","California","3235"
"148","2020-06-17","California","3837"
"149","2020-06-18","California","4288"
"150","2020-06-19","California","3776"
